id,gid,x,y,v_x,v_y,radius,time
11,0,12.816628,-0.627580,-1.183653,0.012910,0.200000,1.950000
12,0,11.674629,0.554258,-1.007632,-0.030619,0.200000,1.950000
13,0,6.937376,-0.192722,-1.043651,-0.271166,0.200000,1.950000
14,0,4.954622,-0.614991,-1.267430,-0.117190,0.200000,1.950000
15,0,11.799634,1.213342,-1.198123,0.074316,0.200000,1.950000
16,0,4.301498,-0.191274,-1.391380,-0.044605,0.200000,1.950000
17,0,5.544951,0.790675,-0.971647,-0.250494,0.200000,1.950000
18,0,7.854157,-0.750781,-1.114700,-0.300004,0.200000,1.950000
19,0,5.605280,-1.348129,-1.140866,-0.289393,0.200000,1.950000
20,1,6.952651,5.799783,-0.212309,-1.216134,0.200000,1.950000
21,1,7.917194,-6.102647,-0.292912,-1.244648,0.200000,1.950000
22,1,6.383152,1.180979,-0.465523,-0.633127,0.200000,1.950000
23,1,8.522423,-4.952806,-0.369256,-1.224171,0.200000,1.950000
24,1,5.524910,3.728470,0.119444,-1.067043,0.200000,1.950000
25,1,8.070851,-3.958710,-0.223169,-1.259024,0.200000,1.950000
26,1,6.835290,4.675774,0.006442,-1.160705,0.200000,1.950000
27,1,4.573211,0.380689,-0.528816,-0.363400,0.200000,1.950000
28,1,4.240332,1.712209,-0.579320,-0.717221,0.200000,1.950000
29,1,3.989939,-1.300317,-0.109703,-1.502528,0.200000,1.950000
30,1,7.210257,1.998789,-0.258894,-0.934338,0.200000,1.950000
31,1,7.180349,-6.302231,-0.062289,-1.277132,0.200000,1.950000
32,1,5.343051,1.568453,-0.082907,-0.357259,0.200000,1.950000
33,1,7.738054,3.537284,-0.246925,-1.151873,0.200000,1.950000
34,1,5.120827,4.795716,0.076823,-1.140245,0.200000,1.950000
35,1,8.844915,2.101147,-0.322107,-0.916085,0.200000,1.950000
36,1,6.108331,2.611837,-0.076493,-0.954386,0.200000,1.950000
37,1,8.098272,2.152706,-0.352553,-1.209479,0.200000,1.950000
38,1,8.828377,3.047936,-0.299932,-0.916437,0.200000,1.950000
39,1,6.818177,6.921576,0.004867,-1.258846,0.200000,1.950000
0,0,8.497158,0.038191,-1.009208,-0.402379,0.200000,2.000000
1,0,10.573200,0.101026,-1.080801,-0.516648,0.200000,2.000000
2,0,5.784702,-0.617090,-1.069942,-0.262842,0.200000,2.000000
3,0,4.793902,-1.311807,-1.223401,-0.171416,0.200000,2.000000
4,0,7.425065,0.373647,-0.857664,-0.376930,0.200000,2.000000
5,0,3.517040,0.449642,-1.291988,0.040736,0.200000,2.000000
6,0,11.727898,-1.023706,-1.100469,-0.173139,0.200000,2.000000
7,0,9.094543,-0.584730,-1.075110,-0.416960,0.200000,2.000000
